Rank,Port Name,State,Border,Total_Crossings,Avg_Monthly_Crossings,Month_Count,First_Record,Last_Record
86,St John,North Dakota,Canada,923530,996.0,927,2000-01-01,2025-05-01
87,Dalton Cache,Alaska,Canada,895315,927.0,966,2000-01-01,2025-05-01
88,Northgate,North Dakota,Canada,807888,734.0,1100,2000-01-01,2025-05-01
89,Sherwood,North Dakota,Canada,739795,785.0,943,2000-01-01,2025-05-01
90,Wildhorse,Montana,Canada,609421,782.0,779,2003-01-01,2025-05-01
91,Carbury,North Dakota,Canada,588942,638.0,923,2000-01-01,2025-05-01
92,Fortuna,North Dakota,Canada,529139,568.0,931,2000-01-01,2025-05-01
93,Maida,North Dakota,Canada,520197,569.0,914,2000-01-01,2025-05-01
94,Westhope,North Dakota,Canada,491661,544.0,904,2000-01-01,2025-05-01
95,Portland,Maine,Canada,490820,725.0,677,2000-01-01,2018-10-01
96,Antler,North Dakota,Canada,469919,519.0,906,2000-01-01,2025-05-01
97,Hansboro,North Dakota,Canada,463589,494.0,939,2000-01-01,2025-05-01
98,Ferry,Washington,Canada,452535,491.0,921,2000-01-01,2025-05-01
99,Noyes,Minnesota,Canada,441259,1149.0,384,2000-01-01,2010-12-01
100,Turner,Montana,Canada,363130,358.0,1014,2000-01-01,2025-05-01
101,Nighthawk,Washington,Canada,313290,330.0,950,2000-01-01,2025-05-01
102,Morgan,Montana,Canada,290693,314.0,926,2000-01-01,2025-05-01
103,Cape Vincent,New York,Canada,260385,646.0,403,2007-05-01,2024-10-01
104,Scobey,Montana,Canada,251291,276.0,911,2000-01-01,2025-05-01
105,Bar Harbor,Maine,Canada,247084,659.0,375,2003-06-01,2025-05-01
106,Sarles,North Dakota,Canada,241769,253.0,955,2000-01-01,2025-05-01
107,Pinecreek,Minnesota,Canada,225189,250.0,902,2000-01-01,2025-05-01
108,Algonac,Michigan,Canada,223701,5456.0,41,2020-01-01,2025-05-01
109,Opheim,Montana,Canada,161728,174.0,932,2000-01-01,2025-05-01
110,Friday Harbor,Washington,Canada,137203,213.0,643,2004-01-01,2019-12-01
111,Hannah,North Dakota,Canada,137158,152.0,902,2000-01-01,2025-05-01
112,Boquillas,Texas,Mexico,127330,849.0,150,2015-01-01,2025-05-01
113,Willow Creek,Montana,Canada,125695,188.0,668,2005-01-01,2025-05-01
114,Ketchikan,Alaska,Canada,120521,171.0,705,2004-01-01,2023-01-01
115,Ambrose,North Dakota,Canada,84704,94.0,904,2000-01-01,2025-05-01
116,Whitetail,Montana,Canada,58682,87.0,672,2000-01-01,2013-12-01
117,Whitlash,Montana,Canada,34997,38.0,925,2000-01-01,2025-05-01
