Date,Border,Monthly_Crossings,Year,Month,Month_Name
2005-02-01,Mexico,18148126,2005,2,February
2005-03-01,Canada,5033744,2005,3,March
2005-03-01,Mexico,21321725,2005,3,March
2005-04-01,Canada,4967263,2005,4,April
2005-04-01,Mexico,19349961,2005,4,April
2005-05-01,Canada,5488230,2005,5,May
2005-05-01,Mexico,19939254,2005,5,May
2005-06-01,Canada,6133755,2005,6,June
2005-06-01,Mexico,19201113,2005,6,June
2005-07-01,Canada,8110501,2005,7,July
2005-07-01,Mexico,20573846,2005,7,July
2005-08-01,Canada,7878082,2005,8,August
2005-08-01,Mexico,19899401,2005,8,August
2005-09-01,Canada,5979303,2005,9,September
2005-09-01,Mexico,17750795,2005,9,September
2005-10-01,Canada,5505187,2005,10,October
2005-10-01,Mexico,18674157,2005,10,October
2005-11-01,Canada,4664180,2005,11,November
2005-11-01,Mexico,18669567,2005,11,November
2005-12-01,Canada,4950897,2005,12,December
2005-12-01,Mexico,21544755,2005,12,December
2006-01-01,Canada,4574766,2006,1,January
2006-01-01,Mexico,19548271,2006,1,January
2006-02-01,Canada,4172169,2006,2,February
2006-02-01,Mexico,17718266,2006,2,February
2006-03-01,Canada,5134096,2006,3,March
2006-03-01,Mexico,19987255,2006,3,March
2006-04-01,Canada,5340507,2006,4,April
2006-04-01,Mexico,19544679,2006,4,April
2006-05-01,Canada,5792924,2006,5,May
2006-05-01,Mexico,18776930,2006,5,May
2006-06-01,Canada,6111231,2006,6,June
2006-06-01,Mexico,18215633,2006,6,June
2006-07-01,Canada,7983556,2006,7,July
2006-07-01,Mexico,19641004,2006,7,July
2006-08-01,Canada,7636202,2006,8,August
2006-08-01,Mexico,18990160,2006,8,August
2006-09-01,Canada,5911243,2006,9,September
2006-09-01,Mexico,17565960,2006,9,September
2006-10-01,Canada,5298849,2006,10,October
2006-10-01,Mexico,18127674,2006,10,October
2006-11-01,Canada,4623648,2006,11,November
2006-11-01,Mexico,19804810,2006,11,November
2006-12-01,Canada,4685644,2006,12,December
2006-12-01,Mexico,20794572,2006,12,December
2007-01-01,Canada,3582409,2007,1,January
2007-01-01,Mexico,17889177,2007,1,January
2007-02-01,Canada,3634099,2007,2,February
2007-02-01,Mexico,16676238,2007,2,February
2007-03-01,Canada,4552184,2007,3,March
2007-03-01,Mexico,19076898,2007,3,March
2007-04-01,Canada,4548202,2007,4,April
2007-04-01,Mexico,18109371,2007,4,April
2007-05-01,Canada,5779671,2007,5,May
2007-05-01,Mexico,18661657,2007,5,May
2007-06-01,Canada,5832567,2007,6,June
2007-06-01,Mexico,17710672,2007,6,June
2007-07-01,Canada,6727006,2007,7,July
2007-07-01,Mexico,18911224,2007,7,July
2007-08-01,Canada,7185045,2007,8,August
2007-08-01,Mexico,18479892,2007,8,August
2007-09-01,Canada,5566230,2007,9,September
2007-09-01,Mexico,17044634,2007,9,September
2007-10-01,Canada,5587631,2007,10,October
2007-10-01,Mexico,17567527,2007,10,October
2007-11-01,Canada,5096308,2007,11,November
2007-11-01,Mexico,17619775,2007,11,November
2007-12-01,Canada,4674174,2007,12,December
2007-12-01,Mexico,19735697,2007,12,December
2008-01-01,Canada,4109563,2008,1,January
2008-01-01,Mexico,17200979,2008,1,January
2008-02-01,Canada,3870080,2008,2,February
2008-02-01,Mexico,16302268,2008,2,February
2008-03-01,Canada,4883604,2008,3,March
2008-03-01,Mexico,18625431,2008,3,March
2008-04-01,Canada,4548778,2008,4,April
2008-04-01,Mexico,16738080,2008,4,April
2008-05-01,Canada,5641377,2008,5,May
2008-05-01,Mexico,17582512,2008,5,May
2008-06-01,Canada,5665388,2008,6,June
2008-06-01,Mexico,16915510,2008,6,June
2008-07-01,Canada,7136114,2008,7,July
2008-07-01,Mexico,17837604,2008,7,July
2008-08-01,Canada,7717796,2008,8,August
2008-08-01,Mexico,17891753,2008,8,August
2008-09-01,Canada,5147461,2008,9,September
2008-09-01,Mexico,16749660,2008,9,September
2008-10-01,Canada,4943791,2008,10,October
2008-10-01,Mexico,16800966,2008,10,October
2008-11-01,Canada,4188150,2008,11,November
2008-11-01,Mexico,16392901,2008,11,November
2008-12-01,Canada,3709556,2008,12,December
2008-12-01,Mexico,17263461,2008,12,December
2009-01-01,Canada,3471486,2009,1,January
2009-01-01,Mexico,16271188,2009,1,January
2009-02-01,Canada,3385288,2009,2,February
2009-02-01,Mexico,14010656,2009,2,February
2009-03-01,Canada,4019196,2009,3,March
2009-03-01,Mexico,15955513,2009,3,March
2009-04-01,Canada,4197495,2009,4,April
2009-04-01,Mexico,15239529,2009,4,April
2009-05-01,Canada,5003257,2009,5,May
2009-05-01,Mexico,15475976,2009,5,May
2009-06-01,Canada,4754552,2009,6,June
2009-06-01,Mexico,14923101,2009,6,June
2009-07-01,Canada,6397533,2009,7,July
2009-07-01,Mexico,16066659,2009,7,July
2009-08-01,Canada,6963764,2009,8,August
2009-08-01,Mexico,16492023,2009,8,August
2009-09-01,Canada,5112765,2009,9,September
2009-09-01,Mexico,14254990,2009,9,September
2009-10-01,Canada,4714863,2009,10,October
2009-10-01,Mexico,14733991,2009,10,October
2009-11-01,Canada,4282614,2009,11,November
2009-11-01,Mexico,14815764,2009,11,November
2009-12-01,Canada,4322994,2009,12,December
2009-12-01,Mexico,16525665,2009,12,December
