Date,Port Name,State,Port Code,Border,Measure,Value,Year,Month,Month_Name,Quarter,Region
1996-01-01,Del Rio,Texas,2302,Mexico,Public Transportation,1196,1996,1,January,1,South
1996-01-01,Derby Line,Vermont,209,Canada,Commercial Transportation,6569,1996,1,January,1,Northeast
1996-01-01,Derby Line,Vermont,209,Canada,Rail Transportation,307,1996,1,January,1,Northeast
1996-01-01,Detroit,Michigan,3801,Canada,Commercial Transportation,167621,1996,1,January,1,Great Lakes
1996-01-01,Detroit,Michigan,3801,Canada,Personal Transportation,2371213,1996,1,January,1,Great Lakes
1996-01-01,Detroit,Michigan,3801,Canada,Public Transportation,38059,1996,1,January,1,Great Lakes
1996-01-01,Detroit,Michigan,3801,Canada,Rail Transportation,1260,1996,1,January,1,Great Lakes
1996-01-01,Douglas,Arizona,2601,Mexico,Commercial Transportation,4555,1996,1,January,1,Southwest
1996-01-01,Douglas,Arizona,2601,Mexico,Personal Transportation,537760,1996,1,January,1,Southwest
1996-01-01,Douglas,Arizona,2601,Mexico,Public Transportation,540,1996,1,January,1,Southwest
1996-01-01,Dunseith,North Dakota,3422,Canada,Commercial Transportation,3678,1996,1,January,1,Northern Plains
1996-01-01,Dunseith,North Dakota,3422,Canada,Personal Transportation,11804,1996,1,January,1,Northern Plains
1996-01-01,Dunseith,North Dakota,3422,Canada,Public Transportation,790,1996,1,January,1,Northern Plains
1996-01-01,Eagle Pass,Texas,2303,Mexico,Commercial Transportation,8354,1996,1,January,1,South
1996-01-01,Eagle Pass,Texas,2303,Mexico,Personal Transportation,797177,1996,1,January,1,South
1996-01-01,Eagle Pass,Texas,2303,Mexico,Public Transportation,732,1996,1,January,1,South
1996-01-01,Eagle Pass,Texas,2303,Mexico,Rail Transportation,5115,1996,1,January,1,South
1996-01-01,Eastport,Idaho,3302,Canada,Commercial Transportation,6588,1996,1,January,1,Pacific Northwest
1996-01-01,Eastport,Idaho,3302,Canada,Personal Transportation,12540,1996,1,January,1,Pacific Northwest
1996-01-01,Eastport,Idaho,3302,Canada,Public Transportation,657,1996,1,January,1,Pacific Northwest
1996-01-01,Eastport,Idaho,3302,Canada,Rail Transportation,2755,1996,1,January,1,Pacific Northwest
1996-01-01,El Paso,Texas,2402,Mexico,Commercial Transportation,91098,1996,1,January,1,South
1996-01-01,El Paso,Texas,2402,Mexico,Personal Transportation,4445280,1996,1,January,1,South
1996-01-01,El Paso,Texas,2402,Mexico,Public Transportation,11782,1996,1,January,1,South
1996-01-01,El Paso,Texas,2402,Mexico,Rail Transportation,1853,1996,1,January,1,South
1996-01-01,Ferry,Washington,3013,Canada,Commercial Transportation,183,1996,1,January,1,Pacific Northwest
1996-01-01,Ferry,Washington,3013,Canada,Personal Transportation,2124,1996,1,January,1,Pacific Northwest
1996-01-01,Ferry,Washington,3013,Canada,Public Transportation,110,1996,1,January,1,Pacific Northwest
1996-01-01,Fort Fairfield,Maine,107,Canada,Commercial Transportation,1257,1996,1,January,1,Northeast
1996-01-01,Fort Fairfield,Maine,107,Canada,Personal Transportation,58328,1996,1,January,1,Northeast
1996-01-01,Fort Fairfield,Maine,107,Canada,Public Transportation,325,1996,1,January,1,Northeast
1996-01-01,Fort Kent,Maine,110,Canada,Commercial Transportation,1421,1996,1,January,1,Northeast
1996-01-01,Fort Kent,Maine,110,Canada,Personal Transportation,79981,1996,1,January,1,Northeast
1996-01-01,Fortuna,North Dakota,3417,Canada,Commercial Transportation,655,1996,1,January,1,Northern Plains
1996-01-01,Fortuna,North Dakota,3417,Canada,Personal Transportation,2826,1996,1,January,1,Northern Plains
1996-01-01,Fortuna,North Dakota,3417,Canada,Public Transportation,582,1996,1,January,1,Northern Plains
1996-01-01,Frontier,Washington,3020,Canada,Commercial Transportation,1197,1996,1,January,1,Pacific Northwest
1996-01-01,Frontier,Washington,3020,Canada,Personal Transportation,13709,1996,1,January,1,Pacific Northwest
1996-01-01,Frontier,Washington,3020,Canada,Public Transportation,734,1996,1,January,1,Pacific Northwest
1996-01-01,Frontier,Washington,3020,Canada,Rail Transportation,84,1996,1,January,1,Pacific Northwest
1996-01-01,Grand Portage,Minnesota,3613,Canada,Commercial Transportation,4300,1996,1,January,1,Great Lakes
1996-01-01,Grand Portage,Minnesota,3613,Canada,Personal Transportation,32188,1996,1,January,1,Great Lakes
1996-01-01,Grand Portage,Minnesota,3613,Canada,Public Transportation,3318,1996,1,January,1,Great Lakes
1996-01-01,Hannah,North Dakota,3408,Canada,Commercial Transportation,33,1996,1,January,1,Northern Plains
1996-01-01,Hannah,North Dakota,3408,Canada,Personal Transportation,1512,1996,1,January,1,Northern Plains
1996-01-01,Hansboro,North Dakota,3415,Canada,Commercial Transportation,154,1996,1,January,1,Northern Plains
1996-01-01,Hansboro,North Dakota,3415,Canada,Personal Transportation,2380,1996,1,January,1,Northern Plains
1996-01-01,Hansboro,North Dakota,3415,Canada,Public Transportation,568,1996,1,January,1,Northern Plains
1996-01-01,Hidalgo,Texas,2305,Mexico,Commercial Transportation,30522,1996,1,January,1,South
1996-01-01,Hidalgo,Texas,2305,Mexico,Personal Transportation,2422821,1996,1,January,1,South
1996-01-01,Hidalgo,Texas,2305,Mexico,Public Transportation,69862,1996,1,January,1,South
1996-01-01,Highgate Springs,Vermont,212,Canada,Commercial Transportation,8553,1996,1,January,1,Northeast
1996-01-01,Highgate Springs,Vermont,212,Canada,Personal Transportation,66206,1996,1,January,1,Northeast
1996-01-01,Highgate Springs,Vermont,212,Canada,Public Transportation,7180,1996,1,January,1,Northeast
1996-01-01,Highgate Springs,Vermont,212,Canada,Rail Transportation,88,1996,1,January,1,Northeast
1996-01-01,Houlton,Maine,106,Canada,Commercial Transportation,7537,1996,1,January,1,Northeast
1996-01-01,Houlton,Maine,106,Canada,Personal Transportation,105447,1996,1,January,1,Northeast
1996-01-01,Houlton,Maine,106,Canada,Public Transportation,262,1996,1,January,1,Northeast
1996-01-01,International Falls,Minnesota,3604,Canada,Commercial Transportation,4510,1996,1,January,1,Great Lakes
1996-01-01,International Falls,Minnesota,3604,Canada,Personal Transportation,109866,1996,1,January,1,Great Lakes
1996-01-01,International Falls,Minnesota,3604,Canada,Public Transportation,192,1996,1,January,1,Great Lakes
1996-01-01,International Falls,Minnesota,3604,Canada,Rail Transportation,1064,1996,1,January,1,Great Lakes
1996-01-01,Jackman,Maine,104,Canada,Commercial Transportation,12241,1996,1,January,1,Northeast
1996-01-01,Jackman,Maine,104,Canada,Personal Transportation,38729,1996,1,January,1,Northeast
1996-01-01,Jackman,Maine,104,Canada,Public Transportation,548,1996,1,January,1,Northeast
1996-01-01,Jackman,Maine,104,Canada,Rail Transportation,1708,1996,1,January,1,Northeast
1996-01-01,Kenneth G Ward,Washington,3023,Canada,Commercial Transportation,1989,1996,1,January,1,Pacific Northwest
1996-01-01,Kenneth G Ward,Washington,3023,Canada,Personal Transportation,153695,1996,1,January,1,Pacific Northwest
1996-01-01,Kenneth G Ward,Washington,3023,Canada,Public Transportation,526,1996,1,January,1,Pacific Northwest
1996-01-01,Laredo,Texas,2304,Mexico,Commercial Transportation,137211,1996,1,January,1,South
1996-01-01,Laredo,Texas,2304,Mexico,Personal Transportation,2203690,1996,1,January,1,South
1996-01-01,Laredo,Texas,2304,Mexico,Public Transportation,24083,1996,1,January,1,South
1996-01-01,Laredo,Texas,2304,Mexico,Rail Transportation,10972,1996,1,January,1,South
1996-01-01,Laurier,Washington,3016,Canada,Commercial Transportation,909,1996,1,January,1,Pacific Northwest
1996-01-01,Laurier,Washington,3016,Canada,Personal Transportation,12723,1996,1,January,1,Pacific Northwest
1996-01-01,Laurier,Washington,3016,Canada,Public Transportation,411,1996,1,January,1,Pacific Northwest
1996-01-01,Laurier,Washington,3016,Canada,Rail Transportation,88,1996,1,January,1,Pacific Northwest
1996-01-01,Limestone,Maine,118,Canada,Commercial Transportation,303,1996,1,January,1,Northeast
1996-01-01,Limestone,Maine,118,Canada,Personal Transportation,11740,1996,1,January,1,Northeast
1996-01-01,Limestone,Maine,118,Canada,Public Transportation,14,1996,1,January,1,Northeast
1996-01-01,Lukeville,Arizona,2602,Mexico,Commercial Transportation,255,1996,1,January,1,Southwest
1996-01-01,Lukeville,Arizona,2602,Mexico,Personal Transportation,84890,1996,1,January,1,Southwest
1996-01-01,Lukeville,Arizona,2602,Mexico,Public Transportation,1160,1996,1,January,1,Southwest
1996-01-01,Madawaska,Maine,109,Canada,Commercial Transportation,2666,1996,1,January,1,Northeast
1996-01-01,Madawaska,Maine,109,Canada,Personal Transportation,222201,1996,1,January,1,Northeast
1996-01-01,Madawaska,Maine,109,Canada,Public Transportation,151,1996,1,January,1,Northeast
1996-01-01,Madawaska,Maine,109,Canada,Rail Transportation,609,1996,1,January,1,Northeast
1996-01-01,Maida,North Dakota,3416,Canada,Commercial Transportation,100,1996,1,January,1,Northern Plains
1996-01-01,Maida,North Dakota,3416,Canada,Personal Transportation,3523,1996,1,January,1,Northern Plains
